"","satfin","income16","new_income_range"
"892","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"893","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"894","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"895","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"896","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"897","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"898","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"899","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"900","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"901","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"902","Not satisfied at all","$90000 TO $109999","90 000 to 170 000"
"903","Not satisfied at all","$15000 TO 17499","10 000 to 19 999"
"904","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"905","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"906","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"907","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"908","Not satisfied at all","$17500 TO 19999","10 000 to 19 999"
"909","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"910","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"911","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"912","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"913","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"914","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"915","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"916","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"917","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"918","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"919","Pretty well satisfied","$35000 TO 39999","20 000 to 39 999"
"920","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"921","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"922","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"923","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"924","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"925","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"926","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"927","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"928","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"929","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"930","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"931","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"932","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"933","Not satisfied at all","$12500 TO 14999","10 000 to 19 999"
"934","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"935","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"936","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"937","Pretty well satisfied","$30000 TO 34999","20 000 to 39 999"
"938","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"939","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"940","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"941","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"942","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"943","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"944","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"945","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"946","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"947","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"948","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"949","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"950","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"951","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"952","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"953","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"954","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"955","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"956","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"957","Not satisfied at all","$20000 TO 22499","20 000 to 39 999"
"958","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"959","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"960","Not satisfied at all","$35000 TO 39999","20 000 to 39 999"
"961","Not satisfied at all","$30000 TO 34999","20 000 to 39 999"
"962","Not satisfied at all","$22500 TO 24999","20 000 to 39 999"
"963","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"964","Not satisfied at all","$22500 TO 24999","20 000 to 39 999"
"965","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"966","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"967","Not satisfied at all","$30000 TO 34999","20 000 to 39 999"
"968","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"969","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"970","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"971","Not satisfied at all","$1 000 TO 2 999","0 to 9 999"
"972","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"973","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"974","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"975","Pretty well satisfied","$35000 TO 39999","20 000 to 39 999"
"976","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"977","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"978","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"979","More or less satisfied","$12500 TO 14999","10 000 to 19 999"
"980","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"981","Pretty well satisfied","$20000 TO 22499","20 000 to 39 999"
"982","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"983","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"984","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"985","Pretty well satisfied","$30000 TO 34999","20 000 to 39 999"
"986","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"987","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"988","More or less satisfied","$22500 TO 24999","20 000 to 39 999"
"989","Not satisfied at all","$150000 TO $169999","90 000 to 170 000"
"990","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"991","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"992","Pretty well satisfied","$17500 TO 19999","10 000 to 19 999"
"993","More or less satisfied","$22500 TO 24999","20 000 to 39 999"
"994","Not satisfied at all","$5 000 TO 5 999","0 to 9 999"
"995","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"996","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"997","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"998","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"999","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"1000","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"1001","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"1002","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"1003","More or less satisfied","UNDER $1 000","0 to 9 999"
"1004","Pretty well satisfied","$3 000 TO 3 999","0 to 9 999"
"1005","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"1006","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"1007","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"1008","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"1009","Not satisfied at all","$75000 TO $89999","40 000 to 89 999"
"1010","More or less satisfied","$12500 TO 14999","10 000 to 19 999"
"1011","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"1012","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"1013","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1014","Not satisfied at all","$110000 TO $129999","90 000 to 170 000"
"1015","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"1016","Not satisfied at all","$75000 TO $89999","40 000 to 89 999"
"1017","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"1018","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"1019","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1020","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"1021","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"1022","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"1023","Pretty well satisfied","$25000 TO 29999","20 000 to 39 999"
"1024","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"1025","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"1026","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"1027","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"1028","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"1029","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"1030","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"1031","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"1032","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"1033","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"1034","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"1035","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"1036","Not satisfied at all","$22500 TO 24999","20 000 to 39 999"
"1037","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"1038","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"1039","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"1040","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"1041","Not satisfied at all","$1 000 TO 2 999","0 to 9 999"
"1042","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"1043","More or less satisfied","$17500 TO 19999","10 000 to 19 999"
"1044","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"1045","Not satisfied at all","$30000 TO 34999","20 000 to 39 999"
"1046","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1047","Pretty well satisfied","$15000 TO 17499","10 000 to 19 999"
"1048","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"1049","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"1050","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1051","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"1052","Not satisfied at all","$75000 TO $89999","40 000 to 89 999"
"1053","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1054","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"1055","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"1056","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"1057","Not satisfied at all","$20000 TO 22499","20 000 to 39 999"
"1058","Not satisfied at all","$30000 TO 34999","20 000 to 39 999"
"1059","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"1060","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"1061","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"1062","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"1063","More or less satisfied","$15000 TO 17499","10 000 to 19 999"
"1064","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"1065","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"1066","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"1067","Not satisfied at all","$110000 TO $129999","90 000 to 170 000"
"1068","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"1069","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"1070","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"1071","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1072","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"1073","Pretty well satisfied","$25000 TO 29999","20 000 to 39 999"
"1074","Not satisfied at all","$20000 TO 22499","20 000 to 39 999"
"1075","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"1076","Not satisfied at all","$75000 TO $89999","40 000 to 89 999"
"1077","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"1078","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"1079","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"1080","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"1081","More or less satisfied","UNDER $1 000","0 to 9 999"
"1082","Pretty well satisfied","$35000 TO 39999","20 000 to 39 999"
"1083","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"1084","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"1085","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"1086","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"1087","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"1088","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"1089","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"1090","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"1091","Not satisfied at all","$90000 TO $109999","90 000 to 170 000"
"1092","Not satisfied at all","$20000 TO 22499","20 000 to 39 999"
"1093","More or less satisfied","$15000 TO 17499","10 000 to 19 999"
"1094","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"1095","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"1096","Pretty well satisfied","$8 000 TO 9 999","0 to 9 999"
"1097","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"1098","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"1099","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"1100","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"1101","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"1102","Pretty well satisfied","$35000 TO 39999","20 000 to 39 999"
"1103","More or less satisfied","$10000 TO 12499","10 000 to 19 999"
"1104","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"1105","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"1106","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"1107","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1108","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"1109","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"1110","Not satisfied at all","$35000 TO 39999","20 000 to 39 999"
"1111","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"1112","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"1113","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"1114","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"1115","Pretty well satisfied","$10000 TO 12499","10 000 to 19 999"
"1116","Not satisfied at all","$1 000 TO 2 999","0 to 9 999"
"1117","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"1118","Not satisfied at all","$17500 TO 19999","10 000 to 19 999"
"1119","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"1120","Not satisfied at all","$8 000 TO 9 999","0 to 9 999"
"1121","Not satisfied at all","$7 000 TO 7 999","0 to 9 999"
"1122","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"1123","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"1124","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"1125","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"1126","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"1127","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"1128","Not satisfied at all","$17500 TO 19999","10 000 to 19 999"
"1129","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"1130","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1131","Not satisfied at all","$75000 TO $89999","40 000 to 89 999"
"1132","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1133","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"1134","More or less satisfied","$20000 TO 22499","20 000 to 39 999"
"1135","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1136","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"1137","More or less satisfied","$22500 TO 24999","20 000 to 39 999"
"1138","More or less satisfied","$20000 TO 22499","20 000 to 39 999"
"1139","More or less satisfied","UNDER $1 000","0 to 9 999"
"1140","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"1141","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"1142","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"1143","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"1144","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"1145","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1146","Not satisfied at all","$90000 TO $109999","90 000 to 170 000"
"1147","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"1148","Not satisfied at all","$130000 TO $149999","90 000 to 170 000"
"1149","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"1150","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"1151","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"1152","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"1153","Not satisfied at all","$12500 TO 14999","10 000 to 19 999"
"1154","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"1155","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"1156","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"1157","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"1158","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"1159","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"1160","Not satisfied at all","$17500 TO 19999","10 000 to 19 999"
"1161","Not satisfied at all","$22500 TO 24999","20 000 to 39 999"
"1162","Not satisfied at all","$90000 TO $109999","90 000 to 170 000"
"1163","Not satisfied at all","$110000 TO $129999","90 000 to 170 000"
"1164","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"1165","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"1166","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1167","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"1168","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"1169","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"1170","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"1171","Pretty well satisfied","$35000 TO 39999","20 000 to 39 999"
"1172","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"1173","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"1174","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1175","Not satisfied at all","$1 000 TO 2 999","0 to 9 999"
"1176","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"1177","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"1178","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"1179","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"1180","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1181","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"1182","Not satisfied at all","$17500 TO 19999","10 000 to 19 999"
"1183","Not satisfied at all","$30000 TO 34999","20 000 to 39 999"
"1184","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"1185","Not satisfied at all","$30000 TO 34999","20 000 to 39 999"
"1186","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"1187","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"1188","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"1189","Not satisfied at all","$35000 TO 39999","20 000 to 39 999"
"1190","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"1191","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"1192","Not satisfied at all","$7 000 TO 7 999","0 to 9 999"
"1193","Not satisfied at all","$90000 TO $109999","90 000 to 170 000"
"1194","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"1195","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"1196","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"1197","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1198","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"1199","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"1200","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"1201","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"1202","Not satisfied at all","$8 000 TO 9 999","0 to 9 999"
"1203","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"1204","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"1205","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"1206","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"1207","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"1208","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"1209","Pretty well satisfied","$1 000 TO 2 999","0 to 9 999"
"1210","Not satisfied at all","$30000 TO 34999","20 000 to 39 999"
"1211","Pretty well satisfied","$5 000 TO 5 999","0 to 9 999"
"1212","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"1213","More or less satisfied","$22500 TO 24999","20 000 to 39 999"
"1214","More or less satisfied","$22500 TO 24999","20 000 to 39 999"
"1215","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"1216","Not satisfied at all","$22500 TO 24999","20 000 to 39 999"
"1217","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"1218","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"1219","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"1220","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1221","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"1222","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1223","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"1224","Not satisfied at all","$30000 TO 34999","20 000 to 39 999"
"1225","Not satisfied at all","$5 000 TO 5 999","0 to 9 999"
"1226","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1227","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"1228","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"1229","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"1230","Not satisfied at all","$4 000 TO 4 999","0 to 9 999"
"1231","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"1232","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"1233","Pretty well satisfied","$30000 TO 34999","20 000 to 39 999"
"1234","Not satisfied at all","$6 000 TO 6 999","0 to 9 999"
"1235","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"1236","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"1237","Not satisfied at all","$1 000 TO 2 999","0 to 9 999"
"1238","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"1239","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"1240","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"1241","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"1242","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"1243","Not satisfied at all","$22500 TO 24999","20 000 to 39 999"
"1244","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"1245","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"1246","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"1247","More or less satisfied","$17500 TO 19999","10 000 to 19 999"
"1248","Not satisfied at all","$30000 TO 34999","20 000 to 39 999"
"1249","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"1250","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"1251","More or less satisfied","$22500 TO 24999","20 000 to 39 999"
"1252","More or less satisfied","$10000 TO 12499","10 000 to 19 999"
"1253","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"1254","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"1255","Pretty well satisfied","$30000 TO 34999","20 000 to 39 999"
"1256","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"1257","Not satisfied at all","$90000 TO $109999","90 000 to 170 000"
"1258","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"1259","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"1260","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"1261","Not satisfied at all","$30000 TO 34999","20 000 to 39 999"
"1262","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"1263","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"1264","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"1265","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"1266","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"1267","More or less satisfied","$22500 TO 24999","20 000 to 39 999"
"1268","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"1269","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"1270","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"1271","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"1272","Not satisfied at all","$4 000 TO 4 999","0 to 9 999"
"1273","More or less satisfied","$12500 TO 14999","10 000 to 19 999"
"1274","More or less satisfied","$1 000 TO 2 999","0 to 9 999"
"1275","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"1276","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"1277","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"1278","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"1279","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"1280","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"1281","Not satisfied at all","$20000 TO 22499","20 000 to 39 999"
"1282","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"1283","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"1284","Not satisfied at all","$15000 TO 17499","10 000 to 19 999"
"1285","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1286","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"1287","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"1288","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"1289","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"1290","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"1291","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"1292","Not satisfied at all","$1 000 TO 2 999","0 to 9 999"
"1293","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"1294","Not satisfied at all","$20000 TO 22499","20 000 to 39 999"
"1295","More or less satisfied","$12500 TO 14999","10 000 to 19 999"
"1296","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1297","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"1298","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"1299","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"1300","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"1301","Not satisfied at all","$12500 TO 14999","10 000 to 19 999"
"1302","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"1303","Pretty well satisfied","$30000 TO 34999","20 000 to 39 999"
"1304","More or less satisfied","$20000 TO 22499","20 000 to 39 999"
"1305","More or less satisfied","$10000 TO 12499","10 000 to 19 999"
"1306","More or less satisfied","$10000 TO 12499","10 000 to 19 999"
